model,budget_r,k_mean,tp_mean,tp_sd,recall_mean,recall_sd,tp_ci95,recall_ci95
HGBR,0.2,49.333333333333336,10.666666666666666,5.131601439446884,0.5583251873574454,0.2405398956205079,5.806953685979518,0.2721965160351958
Hybrid (guarded),0.02,5.0,3.0,1.7320508075688772,0.138970348647768,0.0243023282619284,1.96,0.0275006732973596
Hybrid (guarded),0.04,10.0,4.666666666666667,2.309401076758503,0.2362333007494298,0.0842953834727372,2.6133333333333333,0.095389206185278
Hybrid (guarded),0.06,15.0,5.666666666666667,3.214550253664318,0.267188009123493,0.0578829912753394,3.637606050382281,0.0655007707648632
Hybrid (guarded),0.08,20.0,6.333333333333333,3.7859388972001824,0.288041707396546,0.0399029778683647,4.28419316921064,0.0451544702269853
Hybrid (guarded),0.1,25.0,7.666666666666667,4.932882862316247,0.3297491039426523,0.0062080674106411,5.582082446940786,0.0070250896057347
Hybrid (guarded),0.12,29.666666666666668,9.333333333333334,6.429100507328636,0.3815575105897686,0.0457069828738832,7.275212100764561,0.0517223201775209
Hybrid (guarded),0.14,34.666666666666664,10.666666666666666,6.658328118479393,0.4687194525904203,0.0271294019284025,7.534607561851587,0.0306998083123809
Hybrid (guarded),0.16,39.66666666666666,11.0,7.0,0.4788204626914304,0.0247503650862617,7.921245693281666,0.0280076746923857
Hybrid (guarded),0.18,44.66666666666666,11.333333333333334,7.234178138070234,0.4895731508634734,0.0090431339761341,8.18624320294589,0.0102332694374602
Hybrid (guarded),0.2,49.333333333333336,12.0,7.810249675906654,0.5110785272075594,0.0331864298347672,8.838129515532872,0.0375539806291491
Persistence,0.02,5.0,1.3333333333333333,1.5275252316519463,0.0410557184750733,0.0460886617170138,1.728557523228866,0.0521542304478587
Persistence,0.04,10.0,2.6666666666666665,2.309401076758504,0.0834147930922124,0.0723450718090735,2.6133333333333337,0.0818661554996823
Persistence,0.06,15.0,4.333333333333333,3.7859388972001824,0.1358748778103616,0.1197089336050941,4.28419316921064,0.1354634106809561
Persistence,0.08,20.0,5.0,3.605551275463989,0.2021831215379602,0.0489840769937432,4.08006535895362,0.0554307012751523
Persistence,0.1,25.0,6.0,4.58257569495584,0.2337895079830564,0.080183716904823,5.185672569686598,0.0907364174576636
Persistence,0.12,29.666666666666668,7.0,5.196152422706632,0.2640925382860866,0.0849376495728628,5.88,0.0961159986966438
Persistence,0.14,34.666666666666664,8.666666666666666,5.859465277082316,0.3620071684587813,0.0496645392851291,6.63060915586025,0.0562007168458781
Persistence,0.16,39.66666666666666,11.0,6.928203230275509,0.4794721407624633,0.0230443308585069,7.84,0.0260771152239293
Persistence,0.18,44.66666666666666,12.0,7.810249675906654,0.5110785272075594,0.0331864298347672,8.838129515532872,0.0375539806291491
Persistence,0.2,49.333333333333336,12.333333333333334,8.144527815247077,0.5218312153796024,0.0514946820364829,9.216400840048378,0.0582717183297713
TCN,0.02,5.0,1.6666666666666667,2.0816659994661326,0.0511567285760834,0.0627770994043508,2.35562683330314,0.0710389754704899
TCN,0.04,10.0,2.333333333333333,3.2145502536643185,0.0713587487781036,0.0970108779582647,3.637606050382281,0.109778142746911
TCN,0.06,15.0,3.0,4.358898943540674,0.0915607689801238,0.1316434062013738,4.932558497710224,0.1489685377745087
TCN,0.08,20.0,3.6666666666666665,4.725815626252609,0.1124144672531769,0.1425332572614482,5.347763810956668,0.1612915643188078
TCN,0.1,25.0,5.666666666666667,5.507570547286102,0.2645812968393613,0.1461129232736358,6.232402782590712,0.1653423377448688
TCN,0.12,29.666666666666668,7.0,6.928203230275509,0.3504398826979472,0.2208534362748535,7.84,0.2499191901340914
TCN,0.14,34.666666666666664,7.333333333333333,6.6583281184793925,0.4059954382535027,0.2880315708228506,7.534607561851587,0.3259384057013798
TCN,0.16,39.66666666666666,7.666666666666667,6.350852961085884,0.4167481264255457,0.2708028209565016,7.1866666666666665,0.3064422398900306
TCN,0.18,44.66666666666666,8.0,6.082762530298219,0.4275008145975887,0.2537712980281073,6.883293785197122,0.2871692573690918
