model,tau,budget_r,n,k,events,TP,precision,recall
persistence,15,0.05,747,38,134,19,0.5,0.1417910447761194
persistence,15,0.06,747,45,134,22,0.4888888888888889,0.16417910447761194
persistence,15,0.07,747,53,134,26,0.49056603773584906,0.19402985074626866
persistence,15,0.08,747,60,134,28,0.4666666666666667,0.208955223880597
persistence,15,0.09,747,68,134,31,0.45588235294117646,0.23134328358208955
persistence,15,0.1,747,75,134,32,0.4266666666666667,0.23880597014925373
persistence,15,0.11,747,83,134,37,0.4457831325301205,0.27611940298507465
persistence,15,0.12,747,90,134,39,0.43333333333333335,0.291044776119403
persistence,15,0.13,747,98,134,43,0.4387755102040816,0.3208955223880597
persistence,15,0.14,747,105,134,45,0.42857142857142855,0.3358208955223881
persistence,15,0.15,747,113,134,45,0.39823008849557523,0.3358208955223881
persistence,15,0.16,747,120,134,48,0.4,0.3582089552238806
persistence,15,0.17,747,127,134,50,0.3937007874015748,0.373134328358209
persistence,15,0.18,747,135,134,51,0.37777777777777777,0.3805970149253731
persistence,15,0.19,747,142,134,53,0.3732394366197183,0.39552238805970147
persistence,15,0.2,747,150,134,55,0.36666666666666664,0.41044776119402987
persistence,16,0.01,747,8,71,4,0.5,0.056338028169014086
persistence,16,0.02,747,15,71,7,0.4666666666666667,0.09859154929577464
persistence,16,0.03,747,23,71,9,0.391304347826087,0.1267605633802817
persistence,16,0.04,747,30,71,12,0.4,0.16901408450704225
persistence,16,0.05,747,38,71,15,0.39473684210526316,0.2112676056338028
persistence,16,0.06,747,45,71,16,0.35555555555555557,0.22535211267605634
persistence,16,0.07,747,53,71,17,0.32075471698113206,0.23943661971830985
persistence,16,0.08,747,60,71,19,0.31666666666666665,0.2676056338028169
persistence,16,0.09,747,68,71,22,0.3235294117647059,0.30985915492957744
persistence,16,0.1,747,75,71,23,0.30666666666666664,0.323943661971831
persistence,16,0.11,747,83,71,28,0.3373493975903614,0.39436619718309857
persistence,16,0.12,747,90,71,30,0.3333333333333333,0.4225352112676056
persistence,16,0.13,747,98,71,33,0.336734693877551,0.4647887323943662
persistence,16,0.14,747,105,71,34,0.3238095238095238,0.4788732394366197
persistence,16,0.15,747,113,71,34,0.3008849557522124,0.4788732394366197
persistence,16,0.16,747,120,71,35,0.2916666666666667,0.49295774647887325
persistence,16,0.17,747,127,71,36,0.28346456692913385,0.5070422535211268
persistence,16,0.18,747,135,71,37,0.2740740740740741,0.5211267605633803
persistence,16,0.19,747,142,71,38,0.2676056338028169,0.5352112676056338
persistence,16,0.2,747,150,71,39,0.26,0.5492957746478874
persistence,17,0.01,747,8,29,2,0.25,0.06896551724137931
persistence,17,0.02,747,15,29,2,0.13333333333333333,0.06896551724137931
persistence,17,0.03,747,23,29,2,0.08695652173913043,0.06896551724137931
persistence,17,0.04,747,30,29,3,0.1,0.10344827586206896
persistence,17,0.05,747,38,29,4,0.10526315789473684,0.13793103448275862
persistence,17,0.06,747,45,29,4,0.08888888888888889,0.13793103448275862
persistence,17,0.07,747,53,29,4,0.07547169811320754,0.13793103448275862
persistence,17,0.08,747,60,29,5,0.08333333333333333,0.1724137931034483
persistence,17,0.09,747,68,29,7,0.10294117647058823,0.2413793103448276
persistence,17,0.1,747,75,29,8,0.10666666666666667,0.27586206896551724
persistence,17,0.11,747,83,29,11,0.13253012048192772,0.3793103448275862
persistence,17,0.12,747,90,29,12,0.13333333333333333,0.41379310344827586
persistence,17,0.13,747,98,29,13,0.1326530612244898,0.4482758620689655
persistence,17,0.14,747,105,29,14,0.13333333333333333,0.4827586206896552
persistence,17,0.15,747,113,29,14,0.12389380530973451,0.4827586206896552
persistence,17,0.16,747,120,29,15,0.125,0.5172413793103449
persistence,17,0.17,747,127,29,16,0.12598425196850394,0.5517241379310345
persistence,17,0.18,747,135,29,16,0.11851851851851852,0.5517241379310345
persistence,17,0.19,747,142,29,16,0.11267605633802817,0.5517241379310345
persistence,17,0.2,747,150,29,17,0.11333333333333333,0.5862068965517241
enet,15,0.01,747,8,134,4,0.5,0.029850746268656716
enet,15,0.02,747,15,134,8,0.5333333333333333,0.05970149253731343
enet,15,0.03,747,23,134,12,0.5217391304347826,0.08955223880597014
enet,15,0.04,747,30,134,13,0.43333333333333335,0.09701492537313433
