model,horizon,outer_fold,threshold,nominal_budget_r,N,events,k,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,random_expected_recall,recall_enrichment_over_random,date_start,date_end,score_context,dataset_sha256,split_sha256,alarm_run_id
ElasticNet,5,1,16,0.1,249,31,25,0.10040160642570281,6,19,25,199,0.24,0.1935483870967742,0.9128440366972477,0.0871559633027523,0.76,0.8064516129032258,0.10040160642570281,1.927741935483871,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,1,17,0.05,249,16,13,0.05220883534136546,2,11,14,222,0.15384615384615385,0.125,0.9527896995708155,0.04721030042918455,0.8461538461538461,0.875,0.05220883534136546,2.394230769230769,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,1,17,0.1,249,16,25,0.10040160642570281,5,20,11,213,0.2,0.3125,0.9141630901287554,0.08583690987124463,0.8,0.6875,0.10040160642570281,3.1125,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,2,15,0.05,249,20,13,0.05220883534136546,2,11,18,218,0.15384615384615385,0.1,0.9519650655021834,0.048034934497816595,0.8461538461538461,0.9,0.05220883534136546,1.9153846153846157,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,2,15,0.1,249,20,25,0.10040160642570281,4,21,16,208,0.16,0.2,0.9082969432314411,0.09170305676855896,0.84,0.8,0.10040160642570281,1.9920000000000002,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,2,16,0.05,249,7,13,0.05220883534136546,1,12,6,230,0.07692307692307693,0.14285714285714285,0.9504132231404959,0.049586776859504134,0.9230769230769231,0.8571428571428571,0.05220883534136546,2.7362637362637363,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,2,16,0.1,249,7,25,0.10040160642570281,2,23,5,219,0.08,0.2857142857142857,0.9049586776859504,0.09504132231404959,0.92,0.7142857142857143,0.10040160642570281,2.8457142857142856,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,2,17,0.05,249,1,13,0.05220883534136546,0,13,1,235,0.0,0.0,0.9475806451612904,0.05241935483870968,1.0,1.0,0.05220883534136546,0.0,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,2,17,0.1,249,1,25,0.10040160642570281,1,24,0,224,0.04,1.0,0.9032258064516129,0.0967741935483871,0.96,0.0,0.10040160642570281,9.96,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,3,15,0.05,249,55,13,0.05220883534136546,10,3,45,191,0.7692307692307693,0.18181818181818182,0.9845360824742269,0.015463917525773196,0.23076923076923078,0.8181818181818182,0.05220883534136546,3.482517482517483,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,3,15,0.1,249,55,25,0.10040160642570281,16,9,39,185,0.64,0.2909090909090909,0.9536082474226805,0.04639175257731959,0.36,0.7090909090909091,0.10040160642570281,2.8974545454545453,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,3,16,0.05,249,33,13,0.05220883534136546,7,6,26,210,0.5384615384615384,0.21212121212121213,0.9722222222222222,0.027777777777777776,0.46153846153846156,0.7878787878787878,0.05220883534136546,4.062937062937063,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,3,16,0.1,249,33,25,0.10040160642570281,12,13,21,203,0.48,0.36363636363636365,0.9398148148148148,0.06018518518518518,0.52,0.6363636363636364,0.10040160642570281,3.621818181818182,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,3,17,0.05,249,12,13,0.05220883534136546,3,10,9,227,0.23076923076923078,0.25,0.9578059071729957,0.04219409282700422,0.7692307692307693,0.75,0.05220883534136546,4.788461538461538,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,3,17,0.1,249,12,25,0.10040160642570281,5,20,7,217,0.2,0.4166666666666667,0.9156118143459916,0.08438818565400844,0.8,0.5833333333333334,0.10040160642570281,4.15,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
