model,threshold,nominal_budget_r,fold_precision_mean,fold_precision_sd,fold_precision_min,fold_precision_max,fold_recall_mean,fold_recall_sd,fold_recall_min,fold_recall_max,fold_TP_min,fold_TP_max,number_of_folds
HybridRank_fixed_documented,15,0.1,0.39999999999999997,0.2286190426597633,0.08,0.6,0.1968669748330765,0.06888287144082678,0.1,0.2542372881355932,2.0,15.0,3
HybridRank_fixed_documented,16,0.05,0.3076923076923077,0.2175713172881685,0.0,0.46153846153846156,0.12512218963831867,0.08860425566861904,0.0,0.1935483870967742,0.0,6.0,3
HybridRank_fixed_documented,16,0.1,0.27999999999999997,0.17281975195754293,0.04,0.44,0.25550435227854584,0.08156603277722428,0.14285714285714285,0.3333333333333333,1.0,11.0,3
HybridRank_fixed_documented,17,0.05,0.15384615384615385,0.12561485860426555,0.0,0.3076923076923077,0.15277777777777776,0.13749298523071757,0.0,0.3333333333333333,0.0,4.0,3
HybridRank_fixed_documented,17,0.1,0.13333333333333333,0.11469767022723504,0.0,0.28,0.2569444444444445,0.24315474166682774,0.0,0.5833333333333334,0.0,7.0,3
Persistence,15,0.05,0.35897435897435903,0.20189763779517464,0.07692307692307693,0.5384615384615384,0.09257832562917308,0.030358975283014206,0.05,0.11864406779661017,1.0,7.0,3
Persistence,15,0.1,0.36000000000000004,0.1986621923433512,0.08,0.52,0.17950693374422189,0.05622678913782474,0.1,0.22033898305084745,2.0,13.0,3
Persistence,16,0.05,0.25641025641025644,0.18130943107347372,0.0,0.38461538461538464,0.10426849136526556,0.0738368797238492,0.0,0.16129032258064516,0.0,5.0,3
Persistence,16,0.1,0.24,0.14966629547095767,0.04,0.4,0.22585300004654843,0.0740115118065518,0.14285714285714285,0.3225806451612903,1.0,10.0,3
Persistence,17,0.05,0.05128205128205129,0.0725237724293895,0.0,0.15384615384615385,0.05555555555555555,0.07856742013183861,0.0,0.16666666666666666,0.0,2.0,3
Persistence,17,0.1,0.06666666666666667,0.03771236166328253,0.04,0.12,0.4375,0.4050462936504913,0.0625,1.0,1.0,3.0,3
Ridge,15,0.05,0.5384615384615384,0.18842228790639834,0.3076923076923077,0.7692307692307693,0.16682074987159734,0.03486535195018082,0.11864406779661017,0.2,4.0,10.0,3
Ridge,15,0.1,0.44,0.19595917942265428,0.2,0.68,0.24851052901900358,0.05008282268133184,0.1864406779661017,0.3090909090909091,5.0,17.0,3
Ridge,16,0.05,0.3333333333333333,0.14504754485877897,0.23076923076923078,0.5384615384615384,0.2458222780803426,0.1375358684787841,0.0967741935483871,0.42857142857142855,3.0,7.0,3
Ridge,16,0.1,0.29333333333333333,0.13597385369580758,0.16,0.48,0.3762044407205698,0.1545247032006084,0.1935483870967742,0.5714285714285714,4.0,12.0,3
Ridge,17,0.05,0.15384615384615385,0.06280742930213278,0.07692307692307693,0.23076923076923078,0.4583333333333333,0.38640077064565437,0.125,1.0,1.0,3.0,3
Ridge,17,0.1,0.1466666666666667,0.07542472332656507,0.04,0.2,0.576388888888889,0.30254195709433285,0.3125,1.0,1.0,5.0,3
