model,horizon,threshold,nominal_budget_r,pooled_N,pooled_events,pooled_K,realized_pooled_alarm_fraction,pooled_TP,pooled_FP,pooled_FN,pooled_TN,pooled_precision,pooled_recall,pooled_specificity,pooled_false_positive_rate,pooled_false_alarm_fraction_of_alarms,pooled_missed_event_fraction,random_expected_recall,recall_enrichment_over_random,folds,score_context,dataset_sha256,split_sha256,alarm_run_id
HybridRank_fixed_documented,5,17,0.1,747,29,75,0.10040160642570281,10,65,19,653,0.13333333333333333,0.3448275862068966,0.9094707520891365,0.0905292479108635,0.8666666666666667,0.6551724137931034,0.10040160642570281,3.43448275862069,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Persistence,5,15,0.05,747,134,39,0.05220883534136546,14,25,120,588,0.358974358974359,0.1044776119402985,0.9592169657422512,0.040783034257748776,0.6410256410256411,0.8955223880597015,0.05220883534136546,2.0011481056257177,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Persistence,5,15,0.1,747,134,75,0.10040160642570281,27,48,107,565,0.36,0.20149253731343283,0.9216965742251223,0.07830342577487764,0.64,0.7985074626865671,0.10040160642570281,2.006865671641791,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Persistence,5,16,0.05,747,71,39,0.05220883534136546,10,29,61,647,0.2564102564102564,0.14084507042253522,0.9571005917159763,0.042899408284023666,0.7435897435897436,0.8591549295774648,0.05220883534136546,2.697724810400867,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Persistence,5,16,0.1,747,71,75,0.10040160642570281,18,57,53,619,0.24,0.2535211267605634,0.915680473372781,0.08431952662721894,0.76,0.7464788732394366,0.10040160642570281,2.525070422535211,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Persistence,5,17,0.05,747,29,39,0.05220883534136546,2,37,27,681,0.05128205128205128,0.06896551724137931,0.9484679665738162,0.05153203342618384,0.9487179487179487,0.9310344827586207,0.05220883534136546,1.3209549071618039,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Persistence,5,17,0.1,747,29,75,0.10040160642570281,5,70,24,648,0.06666666666666667,0.1724137931034483,0.9025069637883009,0.09749303621169916,0.9333333333333333,0.8275862068965517,0.10040160642570281,1.717241379310345,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Ridge,5,15,0.05,747,134,39,0.05220883534136546,21,18,113,595,0.5384615384615384,0.15671641791044777,0.9706362153344209,0.02936378466557912,0.46153846153846156,0.8432835820895522,0.05220883534136546,3.0017221584385765,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Ridge,5,15,0.1,747,134,75,0.10040160642570281,33,42,101,571,0.44,0.2462686567164179,0.9314845024469821,0.06851549755301795,0.56,0.753731343283582,0.10040160642570281,2.452835820895522,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Ridge,5,16,0.05,747,71,39,0.05220883534136546,13,26,58,650,0.3333333333333333,0.18309859154929578,0.9615384615384616,0.038461538461538464,0.6666666666666666,0.8169014084507042,0.05220883534136546,3.507042253521127,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Ridge,5,16,0.1,747,71,75,0.10040160642570281,22,53,49,623,0.29333333333333333,0.30985915492957744,0.9215976331360947,0.07840236686390532,0.7066666666666667,0.6901408450704225,0.10040160642570281,3.0861971830985913,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Ridge,5,17,0.05,747,29,39,0.05220883534136546,6,33,23,685,0.15384615384615385,0.20689655172413793,0.9540389972144847,0.04596100278551532,0.8461538461538461,0.7931034482758621,0.05220883534136546,3.962864721485411,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
Ridge,5,17,0.1,747,29,75,0.10040160642570281,11,64,18,654,0.14666666666666667,0.3793103448275862,0.9108635097493036,0.08913649025069638,0.8533333333333334,0.6206896551724138,0.10040160642570281,3.7779310344827586,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
