horizon,model,outer_fold,metric,source_value,recomputed_value,absolute_delta,tolerance,pass,aggregation_method,MASE_method,source_file,source_checksum
3,Persistence,1,MASE_denom_train_only,1.1536437246963565,1.1536437246963565,0.0,1e-12,True,fold_level_train_denominator,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/persistence/persistence_metrics_by_fold.csv,6c716094f371283a2f9b77701b1e60db738e54e4bbc188d99976cc2d10c7dcb1
3,Persistence,1,MSE,5.601704016064258,5.601704016064258,0.0,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/persistence/persistence_metrics_by_fold.csv,6c716094f371283a2f9b77701b1e60db738e54e4bbc188d99976cc2d10c7dcb1
3,Persistence,1,RMSE,2.366791924961773,2.3667919249617735,4.440892098500626e-16,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/persistence/persistence_metrics_by_fold.csv,6c716094f371283a2f9b77701b1e60db738e54e4bbc188d99976cc2d10c7dcb1
3,Persistence,2,MAE,1.8968674698795185,1.8968674698795183,2.220446049250313e-16,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/persistence/persistence_metrics_by_fold.csv,6c716094f371283a2f9b77701b1e60db738e54e4bbc188d99976cc2d10c7dcb1
3,Persistence,2,MASE,1.5078631071099764,1.5078631071099762,2.220446049250313e-16,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/persistence/persistence_metrics_by_fold.csv,6c716094f371283a2f9b77701b1e60db738e54e4bbc188d99976cc2d10c7dcb1
3,Persistence,2,MASE_denom_train_only,1.257983870967742,1.257983870967742,0.0,1e-12,True,fold_level_train_denominator,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/persistence/persistence_metrics_by_fold.csv,6c716094f371283a2f9b77701b1e60db738e54e4bbc188d99976cc2d10c7dcb1
3,Persistence,2,MSE,5.9266,5.9266,0.0,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/persistence/persistence_metrics_by_fold.csv,6c716094f371283a2f9b77701b1e60db738e54e4bbc188d99976cc2d10c7dcb1
3,Persistence,2,RMSE,2.434460925954656,2.4344609259546557,4.440892098500626e-16,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/persistence/persistence_metrics_by_fold.csv,6c716094f371283a2f9b77701b1e60db738e54e4bbc188d99976cc2d10c7dcb1
3,Persistence,3,MAE,2.3341775473895585,2.3341775473895585,0.0,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/persistence/persistence_metrics_by_fold.csv,6c716094f371283a2f9b77701b1e60db738e54e4bbc188d99976cc2d10c7dcb1
3,Persistence,3,MASE,1.7370168126809409,1.7370168126809407,2.220446049250313e-16,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/persistence/persistence_metrics_by_fold.csv,6c716094f371283a2f9b77701b1e60db738e54e4bbc188d99976cc2d10c7dcb1
