model,model_version,horizon,outer_fold,epoch,gradient_norm_before_clipping,gradient_norm_after_clipping,clipping_applied,selected_checkpoint,validation_recall_tau16_r05,validation_MAE,run_id
BCR-TCN,1.1,5,3,0,2.1899814009666443,0.9999995470046997,True,True,0.0,12.327805042266846,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,1,4.46155092716217,0.9999997437000274,True,False,0.0,10.354586601257324,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,2,30.035508346557616,0.9999998927116394,True,False,0.0,6.712762355804443,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,3,27.496581745147704,0.9999999463558197,True,False,0.0,5.193537473678589,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,4,13.597503089904786,0.9999999046325684,True,False,0.0,2.5319470167160034,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,5,10.927179336547852,0.9999999046325684,True,False,0.0,2.739570379257202,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,6,9.709685468673706,0.999999874830246,True,False,0.0,2.695765435695648,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,7,12.92371973991394,0.9999998867511749,True,False,0.0,2.594452977180481,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,8,11.885407543182373,0.9999999105930328,True,False,0.0,2.498036026954651,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,9,11.397208404541015,0.9999998867511749,True,False,0.0,2.2822054624557495,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,10,10.005856800079346,0.999999874830246,True,False,0.0,2.368808150291443,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,11,10.639057397842407,0.999999862909317,True,False,0.0,2.237391233444214,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,12,9.300491380691529,0.9999998569488525,True,False,0.0,2.0967822670936584,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,13,7.523615217208862,0.9999998569488525,True,False,0.0,2.1617122888565063,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,14,6.390652418136597,0.9999998390674592,True,False,0.0,2.0987130403518677,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,15,8.384634590148925,0.9999998509883881,True,False,0.0,2.861232042312622,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,16,7.848931741714478,0.9999998688697815,True,False,0.0,2.2451592683792114,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,17,8.00554084777832,0.9999998450279236,True,False,0.0,2.1951934099197388,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,18,10.749286079406739,0.9999998509883881,True,False,0.0,2.0239001512527466,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,19,9.56632080078125,0.999999874830246,True,False,0.0,2.8403090238571167,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,20,7.369141674041748,0.999999874830246,True,False,0.0,2.7096800208091736,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,21,8.373738956451415,0.9999998986721039,True,False,0.0,2.8375539779663086,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,22,7.219376420974731,0.9999998807907104,True,False,0.0,3.157001256942749,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,23,7.06999831199646,0.9999998390674592,True,False,0.0,2.6384421586990356,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,24,6.724276399612426,0.9999998509883881,True,False,0.0,2.2478021383285522,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,25,6.263003253936768,0.9999998450279236,True,False,0.0,2.458264172077179,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
