model,horizon,configuration_id,outer_fold,N,MAE,MSE,RMSE,MASE,mase_denominator,mase_denominator_source,mase_method,epsilon_or_stabilizer,training_rows_used_for_denominator
Ridge,3,LONG,3,249,1.9046749825580738,5.5259282939398116,2.35072931107344,1.4173953781263038,1.3437852348993289,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,746
Ridge,3,REFERENCE,1,249,2.0307162204936144,6.176591976752551,2.485275030404593,1.760262874283691,1.1536437246963565,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,248
Ridge,3,REFERENCE,2,249,1.4547782439198813,3.5653179888441158,1.8882049647334676,1.1564363234993729,1.257983870967742,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,497
Ridge,3,REFERENCE,3,249,1.9070178990215394,5.511287969923625,2.3476132496481665,1.4191388981478628,1.3437852348993289,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,746
Ridge,3,SHORT,1,249,2.0140559224141237,5.97125697033396,2.4436155528916492,1.7458214157047571,1.1536437246963565,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,248
Ridge,3,SHORT,2,249,1.4547490604307374,3.564443043051667,1.887973263330725,1.1564131248799037,1.257983870967742,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,497
Ridge,3,SHORT,3,249,1.9084609466828908,5.518673070703867,2.3491856186142184,1.4202127659228614,1.3437852348993289,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,746
Ridge,5,LONG,1,249,1.8876980857766308,5.776051023058435,2.4033416367754366,1.6267488277481428,1.1604115226337448,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,244
Ridge,5,LONG,2,249,1.461764982887295,3.616115477568509,1.9016086552097171,1.1597941799869866,1.2603658536585365,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,493
Ridge,5,LONG,3,249,1.9362056059391588,5.667909459755114,2.3807371672982116,1.439912036264494,1.3446693657219972,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,742
Ridge,5,REFERENCE,1,249,1.9193764982830328,5.941286282067888,2.4374753910691873,1.6540481193022316,1.1604115226337448,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,244
Ridge,5,REFERENCE,2,249,1.4576763830933597,3.6686189089332304,1.9153639103139724,1.1565502014399456,1.2603658536585365,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,493
Ridge,5,REFERENCE,3,249,1.9425124442766322,5.737295715422008,2.395265270366105,1.4446022883766902,1.3446693657219972,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,742
Ridge,5,SHORT,1,249,1.8892476921715537,5.751748868990989,2.3982803983252228,1.6280842215833147,1.1604115226337448,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,244
Ridge,5,SHORT,2,249,1.4553465519305882,3.6521489676931327,1.9110596452474038,1.154701665830892,1.2603658536585365,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,493
Ridge,5,SHORT,3,249,1.9428552316822723,5.739269759720621,2.395677307093053,1.4448572115675677,1.3446693657219972,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,742
