model,horizon,outer_fold,configuration_id,available_pre_purge_rows,purged_rows,available_post_purge_rows,warmup_losses,final_fitting_rows,canonical_test_rows,earliest_fitting_feature_date,latest_fitting_feature_date,earliest_test_feature_date,latest_test_feature_date,feature_count,tnout_features,non_tnout_features,feature_hash,warmup_losses_observed,warmup_losses_expected,final_fitting_rows_observed,final_fitting_rows_expected,canonical_test_rows_observed,canonical_test_rows_expected,reconciliation_pass
HGBR,5,1,LONG,249,5,244,0,244,249,2021-02-03,2021-10-04,2021-10-10,2022-06-15,34,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,4e01b973127e8946f084223abcd52732a22b5e71d4370145c34672c224446079,0,0,244,244,249,249,True
HGBR,5,2,LONG,498,5,493,0,493,249,2021-02-03,2022-06-10,2022-06-16,2023-02-19,34,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,4e01b973127e8946f084223abcd52732a22b5e71d4370145c34672c224446079,0,0,493,493,249,249,True
HGBR,5,3,LONG,747,5,742,0,742,249,2021-02-03,2023-02-14,2023-02-20,2023-10-26,34,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,4e01b973127e8946f084223abcd52732a22b5e71d4370145c34672c224446079,0,0,742,742,249,249,True
HGBR,5,1,REFERENCE,249,5,244,0,244,249,2021-02-03,2021-10-04,2021-10-10,2022-06-15,30,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,6c87ac1579de20ce04b3b5494cb7867176d89744c0323b3f918b6311ea3114c1,0,0,244,244,249,249,True
HGBR,5,2,REFERENCE,498,5,493,0,493,249,2021-02-03,2022-06-10,2022-06-16,2023-02-19,30,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,6c87ac1579de20ce04b3b5494cb7867176d89744c0323b3f918b6311ea3114c1,0,0,493,493,249,249,True
HGBR,5,3,REFERENCE,747,5,742,0,742,249,2021-02-03,2023-02-14,2023-02-20,2023-10-26,30,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,6c87ac1579de20ce04b3b5494cb7867176d89744c0323b3f918b6311ea3114c1,0,0,742,742,249,249,True
HGBR,5,1,SHORT,249,5,244,0,244,249,2021-02-03,2021-10-04,2021-10-10,2022-06-15,29,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,2e6ae199ba9906045403cb867b959334dd8c2cbbefd55d25b20c8843bee5f2b0,0,0,244,244,249,249,True
HGBR,5,2,SHORT,498,5,493,0,493,249,2021-02-03,2022-06-10,2022-06-16,2023-02-19,29,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,2e6ae199ba9906045403cb867b959334dd8c2cbbefd55d25b20c8843bee5f2b0,0,0,493,493,249,249,True
HGBR,5,3,SHORT,747,5,742,0,742,249,2021-02-03,2023-02-14,2023-02-20,2023-10-26,29,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,2e6ae199ba9906045403cb867b959334dd8c2cbbefd55d25b20c8843bee5f2b0,0,0,742,742,249,249,True
Ridge,1,1,LONG,254,1,253,16,237,254,2021-02-03,2021-09-27,2021-09-29,2022-06-09,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,ec3126a974b1d835ea4e69757fe51f2bdb5105b9ce17e25cbf671e60fca09500,16,16,237,237,254,254,True
Ridge,1,2,LONG,508,1,507,16,491,254,2021-02-03,2022-06-08,2022-06-10,2023-02-18,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,ec3126a974b1d835ea4e69757fe51f2bdb5105b9ce17e25cbf671e60fca09500,16,16,491,491,254,254,True
Ridge,1,3,LONG,762,1,761,16,745,254,2021-02-03,2023-02-17,2023-02-19,2023-10-30,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,ec3126a974b1d835ea4e69757fe51f2bdb5105b9ce17e25cbf671e60fca09500,16,16,745,745,254,254,True
Ridge,1,1,REFERENCE,254,1,253,0,253,254,2021-01-18,2021-09-27,2021-09-29,2022-06-09,18,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,bcccf0fc629e2db38eecafc2a972e8ffe4443c74c61f7e1b376fc59233b93dbc,0,0,253,253,254,254,True
Ridge,1,2,REFERENCE,508,1,507,0,507,254,2021-01-18,2022-06-08,2022-06-10,2023-02-18,18,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,bcccf0fc629e2db38eecafc2a972e8ffe4443c74c61f7e1b376fc59233b93dbc,0,0,507,507,254,254,True
Ridge,1,3,REFERENCE,762,1,761,0,761,254,2021-01-18,2023-02-17,2023-02-19,2023-10-30,18,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,bcccf0fc629e2db38eecafc2a972e8ffe4443c74c61f7e1b376fc59233b93dbc,0,0,761,761,254,254,True
Ridge,1,1,SHORT,254,1,253,0,253,254,2021-01-18,2021-09-27,2021-09-29,2022-06-09,17,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,0,0,253,253,254,254,True
Ridge,1,2,SHORT,508,1,507,0,507,254,2021-01-18,2022-06-08,2022-06-10,2023-02-18,17,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,0,0,507,507,254,254,True
Ridge,1,3,SHORT,762,1,761,0,761,254,2021-01-18,2023-02-17,2023-02-19,2023-10-30,17,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,0,0,761,761,254,254,True
