model,horizon,configuration_id,outer_fold,tau,budget_fraction,N,k,event_count,true_positives,false_positives,false_negatives,recall,precision,tie_break_rule,retrospective_only,diagnostic_label
Ridge,3,LONG,1,16.0,0.05,249,13,31,3,10,28,0.0967741935483871,0.23076923076923078,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,3,LONG,2,16.0,0.05,249,13,7,2,11,5,0.2857142857142857,0.15384615384615385,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,3,LONG,3,16.0,0.05,249,13,33,7,6,26,0.21212121212121213,0.5384615384615384,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,3,REFERENCE,1,16.0,0.05,249,13,31,3,10,28,0.0967741935483871,0.23076923076923078,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,3,REFERENCE,2,16.0,0.05,249,13,7,2,11,5,0.2857142857142857,0.15384615384615385,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,3,REFERENCE,3,16.0,0.05,249,13,33,8,5,25,0.24242424242424243,0.6153846153846154,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,3,SHORT,1,16.0,0.05,249,13,31,2,11,29,0.06451612903225806,0.15384615384615385,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,3,SHORT,2,16.0,0.05,249,13,7,2,11,5,0.2857142857142857,0.15384615384615385,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,3,SHORT,3,16.0,0.05,249,13,33,8,5,25,0.24242424242424243,0.6153846153846154,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,5,LONG,1,16.0,0.05,249,13,31,2,11,29,0.06451612903225806,0.15384615384615385,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,5,LONG,2,16.0,0.05,249,13,7,2,11,5,0.2857142857142857,0.15384615384615385,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,5,LONG,3,16.0,0.05,249,13,33,6,7,27,0.18181818181818182,0.46153846153846156,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,5,REFERENCE,1,16.0,0.05,249,13,31,3,10,28,0.0967741935483871,0.23076923076923078,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,5,REFERENCE,2,16.0,0.05,249,13,7,3,10,4,0.42857142857142855,0.23076923076923078,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,5,REFERENCE,3,16.0,0.05,249,13,33,7,6,26,0.21212121212121213,0.5384615384615384,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,5,SHORT,1,16.0,0.05,249,13,31,3,10,28,0.0967741935483871,0.23076923076923078,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,5,SHORT,2,16.0,0.05,249,13,7,2,11,5,0.2857142857142857,0.15384615384615385,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,5,SHORT,3,16.0,0.05,249,13,33,7,6,26,0.21212121212121213,0.5384615384615384,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
