model,horizon,outer_fold,threshold,nominal_budget_r,metric_scope,primary_reference,total_N,total_events,alarms_issued,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,startup_N,eligible_N,score_context,sequential_run_id
Ridge,5,2,15,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,20,79,0.3172690763052209,14,65,6,164,0.17721518987341772,0.7,0.7161572052401747,0.2838427947598253,0.8227848101265823,0.3,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,2,16,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,7,51,0.20481927710843373,6,45,1,197,0.11764705882352941,0.8571428571428571,0.8140495867768595,0.1859504132231405,0.8823529411764706,0.14285714285714285,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,2,16,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,7,79,0.3172690763052209,6,73,1,169,0.0759493670886076,0.8571428571428571,0.6983471074380165,0.30165289256198347,0.9240506329113924,0.14285714285714285,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,2,17,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,1,51,0.20481927710843373,1,50,0,198,0.0196078431372549,1.0,0.7983870967741935,0.20161290322580644,0.9803921568627451,0.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,2,17,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,1,79,0.3172690763052209,1,78,0,170,0.012658227848101266,1.0,0.6854838709677419,0.31451612903225806,0.9873417721518988,0.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,3,15,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,55,21,0.08433734939759036,16,5,39,189,0.7619047619047619,0.2909090909090909,0.9742268041237113,0.02577319587628866,0.23809523809523808,0.7090909090909091,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,3,15,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,55,30,0.12048192771084337,20,10,35,184,0.6666666666666666,0.36363636363636365,0.9484536082474226,0.05154639175257732,0.3333333333333333,0.6363636363636364,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,3,16,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,33,21,0.08433734939759036,13,8,20,208,0.6190476190476191,0.3939393939393939,0.9629629629629629,0.037037037037037035,0.38095238095238093,0.6060606060606061,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,3,16,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,33,30,0.12048192771084337,16,14,17,202,0.5333333333333333,0.48484848484848486,0.9351851851851852,0.06481481481481481,0.4666666666666667,0.5151515151515151,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,3,17,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,12,21,0.08433734939759036,5,16,7,221,0.23809523809523808,0.4166666666666667,0.9324894514767933,0.06751054852320675,0.7619047619047619,0.5833333333333334,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,3,17,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,12,30,0.12048192771084337,8,22,4,215,0.26666666666666666,0.6666666666666666,0.9071729957805907,0.09282700421940929,0.7333333333333333,0.3333333333333333,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
