model,outer_fold,threshold,nominal_budget_r,eligible_N,alarms_issued,realized_alarm_fraction,difference_from_nominal,absolute_difference_from_nominal,under_or_over_budget,longest_alarm_streak,maximum_alarms_in_any_7_day_window,days_between_alarms_mean,days_between_alarms_median,burden_audit_pass
HybridRank_fixed_documented,3,17,0.05,219,37,0.1689497716894977,0.1189497716894977,0.1189497716894977,over,9,7,5.666666666666667,1.0,True
HybridRank_fixed_documented,3,17,0.1,219,53,0.2420091324200913,0.1420091324200913,0.1420091324200913,over,14,7,3.923076923076923,1.0,True
Persistence,1,15,0.05,219,8,0.0365296803652968,-0.013470319634703201,0.013470319634703201,under,2,3,22.142857142857142,35.0,True
Persistence,1,15,0.1,219,18,0.0821917808219178,-0.017808219178082202,0.017808219178082202,under,4,6,11.235294117647058,2.0,True
Persistence,1,16,0.05,219,8,0.0365296803652968,-0.013470319634703201,0.013470319634703201,under,2,3,22.142857142857142,35.0,True
Persistence,1,16,0.1,219,18,0.0821917808219178,-0.017808219178082202,0.017808219178082202,under,4,6,11.235294117647058,2.0,True
Persistence,1,17,0.05,219,8,0.0365296803652968,-0.013470319634703201,0.013470319634703201,under,2,3,22.142857142857142,35.0,True
Persistence,1,17,0.1,219,18,0.0821917808219178,-0.017808219178082202,0.017808219178082202,under,4,6,11.235294117647058,2.0,True
Persistence,2,15,0.05,219,24,0.1095890410958904,0.0595890410958904,0.0595890410958904,over,3,5,8.695652173913043,3.0,True
Persistence,2,15,0.1,219,44,0.2009132420091324,0.1009132420091324,0.1009132420091324,over,3,6,4.651162790697675,2.0,True
Persistence,2,16,0.05,219,24,0.1095890410958904,0.0595890410958904,0.0595890410958904,over,3,5,8.695652173913043,3.0,True
Persistence,2,16,0.1,219,44,0.2009132420091324,0.1009132420091324,0.1009132420091324,over,3,6,4.651162790697675,2.0,True
Persistence,2,17,0.05,219,24,0.1095890410958904,0.0595890410958904,0.0595890410958904,over,3,5,8.695652173913043,3.0,True
Persistence,2,17,0.1,219,44,0.2009132420091324,0.1009132420091324,0.1009132420091324,over,3,6,4.651162790697675,2.0,True
Persistence,3,15,0.05,219,22,0.1004566210045662,0.0504566210045662,0.0504566210045662,over,2,4,9.428571428571429,5.0,True
Persistence,3,15,0.1,219,40,0.182648401826484,0.082648401826484,0.082648401826484,over,9,7,5.564102564102564,2.0,True
Persistence,3,16,0.05,219,22,0.1004566210045662,0.0504566210045662,0.0504566210045662,over,2,4,9.428571428571429,5.0,True
Persistence,3,16,0.1,219,40,0.182648401826484,0.082648401826484,0.082648401826484,over,9,7,5.564102564102564,2.0,True
Persistence,3,17,0.05,219,22,0.1004566210045662,0.0504566210045662,0.0504566210045662,over,2,4,9.428571428571429,5.0,True
