model,horizon,outer_fold,threshold,nominal_budget_r,eligible_N,eligible_events,alarms_issued,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,nominal_budget_difference,startup_N,score_context,sequential_run_id
ElasticNet,5,3,15,0.1,219,49,40,0.182648401826484,21,19,28,151,0.525,0.42857142857142855,0.888235294117647,0.11176470588235295,0.475,0.5714285714285714,0.082648401826484,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,3,16,0.05,219,32,33,0.1506849315068493,13,20,19,167,0.3939393939393939,0.40625,0.893048128342246,0.10695187165775401,0.6060606060606061,0.59375,0.1006849315068493,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,3,16,0.1,219,32,40,0.182648401826484,16,24,16,163,0.4,0.5,0.8716577540106952,0.12834224598930483,0.6,0.5,0.082648401826484,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,3,17,0.05,219,12,33,0.1506849315068493,7,26,5,181,0.21212121212121213,0.5833333333333334,0.8743961352657005,0.12560386473429952,0.7878787878787878,0.4166666666666667,0.1006849315068493,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,3,17,0.1,219,12,40,0.182648401826484,9,31,3,176,0.225,0.75,0.8502415458937198,0.1497584541062802,0.775,0.25,0.082648401826484,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,1,15,0.05,219,48,2,0.0091324200913242,0,2,48,169,0.0,0.0,0.9883040935672515,0.011695906432748537,1.0,1.0,-0.0408675799086758,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,1,15,0.1,219,48,2,0.0091324200913242,0,2,48,169,0.0,0.0,0.9883040935672515,0.011695906432748537,1.0,1.0,-0.0908675799086758,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,1,16,0.05,219,28,2,0.0091324200913242,0,2,28,189,0.0,0.0,0.9895287958115183,0.010471204188481676,1.0,1.0,-0.0408675799086758,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,1,16,0.1,219,28,2,0.0091324200913242,0,2,28,189,0.0,0.0,0.9895287958115183,0.010471204188481676,1.0,1.0,-0.0908675799086758,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,1,17,0.05,219,13,2,0.0091324200913242,0,2,13,204,0.0,0.0,0.9902912621359223,0.009708737864077669,1.0,1.0,-0.0408675799086758,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
