model,scope,tau,budget_r,n,k,events,TP,precision,recall
enet_a0.01_l0.5,fold1,16.0,0.05,253,13,33,2,0.15384615384615385,0.06060606060606061
enet_a0.01_l0.5,fold1,16.0,0.1,253,26,33,6,0.23076923076923078,0.18181818181818182
enet_a0.01_l0.5,fold1,17.0,0.05,253,13,16,1,0.07692307692307693,0.0625
enet_a0.01_l0.5,fold1,17.0,0.1,253,26,16,4,0.15384615384615385,0.25
enet_a0.01_l0.5,fold2,15.0,0.05,253,13,19,3,0.23076923076923078,0.15789473684210525
enet_a0.01_l0.5,fold2,15.0,0.1,253,26,19,4,0.15384615384615385,0.21052631578947367
enet_a0.01_l0.5,fold2,16.0,0.05,253,13,6,2,0.15384615384615385,0.3333333333333333
enet_a0.01_l0.5,fold2,16.0,0.1,253,26,6,3,0.11538461538461539,0.5
enet_a0.01_l0.5,fold2,17.0,0.05,253,13,1,1,0.07692307692307693,1.0
enet_a0.01_l0.5,fold2,17.0,0.1,253,26,1,1,0.038461538461538464,1.0
enet_a0.01_l0.5,fold3,15.0,0.05,253,13,56,10,0.7692307692307693,0.17857142857142858
enet_a0.01_l0.5,fold3,15.0,0.1,253,26,56,18,0.6923076923076923,0.32142857142857145
enet_a0.01_l0.5,fold3,16.0,0.05,253,13,34,7,0.5384615384615384,0.20588235294117646
enet_a0.01_l0.5,fold3,16.0,0.1,253,26,34,13,0.5,0.38235294117647056
enet_a0.01_l0.5,fold3,17.0,0.05,253,13,12,3,0.23076923076923078,0.25
enet_a0.01_l0.5,fold3,17.0,0.1,253,26,12,5,0.19230769230769232,0.4166666666666667
enet_a0.1_l0.5,overall,15.0,0.05,759,38,140,20,0.5263157894736842,0.14285714285714285
enet_a0.1_l0.5,overall,15.0,0.1,759,76,140,34,0.4473684210526316,0.24285714285714285
enet_a0.1_l0.5,overall,16.0,0.05,759,38,73,10,0.2631578947368421,0.136986301369863
enet_a0.1_l0.5,overall,16.0,0.1,759,76,73,22,0.2894736842105263,0.3013698630136986
enet_a0.1_l0.5,overall,17.0,0.05,759,38,29,5,0.13157894736842105,0.1724137931034483
enet_a0.1_l0.5,overall,17.0,0.1,759,76,29,11,0.14473684210526316,0.3793103448275862
enet_a0.1_l0.5,fold1,15.0,0.05,253,13,65,8,0.6153846153846154,0.12307692307692308
enet_a0.1_l0.5,fold1,15.0,0.1,253,26,65,13,0.5,0.2
enet_a0.1_l0.5,fold1,16.0,0.05,253,13,33,3,0.23076923076923078,0.09090909090909091
enet_a0.1_l0.5,fold1,16.0,0.1,253,26,33,7,0.2692307692307692,0.21212121212121213
enet_a0.1_l0.5,fold1,17.0,0.05,253,13,16,1,0.07692307692307693,0.0625
enet_a0.1_l0.5,fold1,17.0,0.1,253,26,16,5,0.19230769230769232,0.3125
enet_a0.1_l0.5,fold2,15.0,0.05,253,13,19,2,0.15384615384615385,0.10526315789473684
enet_a0.1_l0.5,fold2,15.0,0.1,253,26,19,4,0.15384615384615385,0.21052631578947367
enet_a0.1_l0.5,fold2,16.0,0.05,253,13,6,1,0.07692307692307693,0.16666666666666666
enet_a0.1_l0.5,fold2,16.0,0.1,253,26,6,2,0.07692307692307693,0.3333333333333333
enet_a0.1_l0.5,fold2,17.0,0.05,253,13,1,1,0.07692307692307693,1.0
enet_a0.1_l0.5,fold2,17.0,0.1,253,26,1,1,0.038461538461538464,1.0
enet_a0.1_l0.5,fold3,15.0,0.05,253,13,56,9,0.6923076923076923,0.16071428571428573
enet_a0.1_l0.5,fold3,15.0,0.1,253,26,56,18,0.6923076923076923,0.32142857142857145
enet_a0.1_l0.5,fold3,16.0,0.05,253,13,34,6,0.46153846153846156,0.17647058823529413
enet_a0.1_l0.5,fold3,16.0,0.1,253,26,34,13,0.5,0.38235294117647056
enet_a0.1_l0.5,fold3,17.0,0.05,253,13,12,3,0.23076923076923078,0.25
enet_a0.1_l0.5,fold3,17.0,0.1,253,26,12,5,0.19230769230769232,0.4166666666666667
enet_a1.0_l0.5,overall,15.0,0.05,759,38,140,11,0.2894736842105263,0.07857142857142857
enet_a1.0_l0.5,overall,15.0,0.1,759,76,140,22,0.2894736842105263,0.15714285714285714
enet_a1.0_l0.5,overall,16.0,0.05,759,38,73,6,0.15789473684210525,0.0821917808219178
enet_a1.0_l0.5,overall,16.0,0.1,759,76,73,15,0.19736842105263158,0.2054794520547945
enet_a1.0_l0.5,overall,17.0,0.05,759,38,29,3,0.07894736842105263,0.10344827586206896
enet_a1.0_l0.5,overall,17.0,0.1,759,76,29,7,0.09210526315789473,0.2413793103448276
enet_a1.0_l0.5,fold1,15.0,0.05,253,13,65,6,0.46153846153846156,0.09230769230769231
enet_a1.0_l0.5,fold1,15.0,0.1,253,26,65,13,0.5,0.2
enet_a1.0_l0.5,fold1,16.0,0.05,253,13,33,3,0.23076923076923078,0.09090909090909091
enet_a1.0_l0.5,fold1,16.0,0.1,253,26,33,5,0.19230769230769232,0.15151515151515152
enet_a1.0_l0.5,fold1,17.0,0.05,253,13,16,1,0.07692307692307693,0.0625
enet_a1.0_l0.5,fold1,17.0,0.1,253,26,16,1,0.038461538461538464,0.0625
enet_a1.0_l0.5,fold2,15.0,0.05,253,13,19,1,0.07692307692307693,0.05263157894736842
enet_a1.0_l0.5,fold2,15.0,0.1,253,26,19,4,0.15384615384615385,0.21052631578947367
enet_a1.0_l0.5,fold2,16.0,0.05,253,13,6,0,0.0,0.0
enet_a1.0_l0.5,fold2,16.0,0.1,253,26,6,1,0.038461538461538464,0.16666666666666666
enet_a1.0_l0.5,fold2,17.0,0.05,253,13,1,0,0.0,0.0
enet_a1.0_l0.5,fold2,17.0,0.1,253,26,1,0,0.0,0.0
enet_a1.0_l0.5,fold3,15.0,0.05,253,13,56,10,0.7692307692307693,0.17857142857142858
enet_a1.0_l0.5,fold3,15.0,0.1,253,26,56,17,0.6538461538461539,0.30357142857142855
enet_a1.0_l0.5,fold3,16.0,0.05,253,13,34,7,0.5384615384615384,0.20588235294117646
enet_a1.0_l0.5,fold3,16.0,0.1,253,26,34,13,0.5,0.38235294117647056
enet_a1.0_l0.5,fold3,17.0,0.05,253,13,12,3,0.23076923076923078,0.25
enet_a1.0_l0.5,fold3,17.0,0.1,253,26,12,6,0.23076923076923078,0.5
