model,horizon,outer_fold,threshold,nominal_budget_r,eligible_N,eligible_events,candidate_alarms,alarms_issued,alarms_suppressed_by_quota,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,nominal_budget_difference,date_start,date_end,dataset_sha256,split_sha256,source_sequential_run_id,quota_run_id
ElasticNet,5,1,16,0.1,219,28,0,0,0,0.0,0,0,28,191,,0.0,1.0,0.0,,1.0,-0.1,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,1,17,0.05,219,13,0,0,0,0.0,0,0,13,206,,0.0,1.0,0.0,,1.0,-0.05,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,1,17,0.1,219,13,0,0,0,0.0,0,0,13,206,,0.0,1.0,0.0,,1.0,-0.1,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,2,15,0.05,219,20,38,11,27,0.0502283105022831,2,9,18,190,0.18181818181818182,0.1,0.9547738693467337,0.04522613065326633,0.8181818181818182,0.9,0.00022831050228309946,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,2,15,0.1,219,20,65,22,43,0.1004566210045662,3,19,17,180,0.13636363636363635,0.15,0.9045226130653267,0.09547738693467336,0.8636363636363636,0.85,0.0004566210045661989,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,2,16,0.05,219,7,38,11,27,0.0502283105022831,1,10,6,202,0.09090909090909091,0.14285714285714285,0.9528301886792453,0.04716981132075472,0.9090909090909091,0.8571428571428571,0.00022831050228309946,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,2,16,0.1,219,7,65,22,43,0.1004566210045662,1,21,6,191,0.045454545454545456,0.14285714285714285,0.9009433962264151,0.09905660377358491,0.9545454545454546,0.8571428571428571,0.0004566210045661989,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,2,17,0.05,219,1,38,11,27,0.0502283105022831,1,10,0,208,0.09090909090909091,1.0,0.9541284403669725,0.045871559633027525,0.9090909090909091,0.0,0.00022831050228309946,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,2,17,0.1,219,1,65,22,43,0.1004566210045662,1,21,0,197,0.045454545454545456,1.0,0.9036697247706422,0.0963302752293578,0.9545454545454546,0.0,0.0004566210045661989,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,3,15,0.05,219,49,33,11,22,0.0502283105022831,2,9,47,161,0.18181818181818182,0.04081632653061224,0.9470588235294117,0.052941176470588235,0.8181818181818182,0.9591836734693877,0.00022831050228309946,2023-03-27,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
