model,horizon,outer_fold,threshold,nominal_budget_r,pooled_eligible_N,pooled_eligible_events,pooled_candidate_alarms,pooled_alarms,pooled_suppressed_by_quota,pooled_realized_alarm_fraction,pooled_TP,pooled_FP,pooled_FN,pooled_TN,pooled_precision,pooled_recall,pooled_specificity,pooled_false_positive_rate,pooled_false_alarm_fraction_of_alarms,pooled_missed_event_fraction,nominal_budget_difference,dataset_sha256,split_sha256,source_sequential_run_id,quota_run_id
Persistence,5,pooled,16,0.05,657,67,54,29,25,0.0441400304414003,3,26,64,564,0.10344827586206896,0.04477611940298507,0.9559322033898305,0.04406779661016949,0.896551724137931,0.9552238805970149,-0.005859969558599701,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
Persistence,5,pooled,16,0.1,657,67,102,60,42,0.091324200913242,11,49,56,541,0.18333333333333332,0.16417910447761194,0.9169491525423729,0.08305084745762711,0.8166666666666667,0.835820895522388,-0.008675799086758001,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
Persistence,5,pooled,17,0.05,657,26,54,29,25,0.0441400304414003,0,29,26,602,0.0,0.0,0.9540412044374009,0.04595879556259905,1.0,1.0,-0.005859969558599701,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
Persistence,5,pooled,17,0.1,657,26,102,60,42,0.091324200913242,4,56,22,575,0.06666666666666667,0.15384615384615385,0.9112519809825673,0.08874801901743265,0.9333333333333333,0.8461538461538461,-0.008675799086758001,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
Ridge,5,pooled,15,0.05,657,117,72,22,50,0.0334855403348554,10,12,107,528,0.45454545454545453,0.08547008547008547,0.9777777777777777,0.022222222222222223,0.5454545454545454,0.9145299145299145,-0.0165144596651446,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
Ridge,5,pooled,15,0.1,657,117,109,44,65,0.0669710806697108,16,28,101,512,0.36363636363636365,0.13675213675213677,0.9481481481481482,0.05185185185185185,0.6363636363636364,0.8632478632478633,-0.0330289193302892,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
Ridge,5,pooled,16,0.05,657,67,72,22,50,0.0334855403348554,8,14,59,576,0.36363636363636365,0.11940298507462686,0.976271186440678,0.023728813559322035,0.6363636363636364,0.8805970149253731,-0.0165144596651446,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
Ridge,5,pooled,16,0.1,657,67,109,44,65,0.0669710806697108,12,32,55,558,0.2727272727272727,0.1791044776119403,0.9457627118644067,0.05423728813559322,0.7272727272727273,0.8208955223880597,-0.0330289193302892,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
Ridge,5,pooled,17,0.05,657,26,72,22,50,0.0334855403348554,2,20,24,611,0.09090909090909091,0.07692307692307693,0.9683042789223455,0.03169572107765452,0.9090909090909091,0.9230769230769231,-0.0165144596651446,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
Ridge,5,pooled,17,0.1,657,26,109,44,65,0.0669710806697108,5,39,21,592,0.11363636363636363,0.19230769230769232,0.9381933438985737,0.061806656101426306,0.8863636363636364,0.8076923076923077,-0.0330289193302892,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
