dataset,metric_type,metric,horizon,tau_mgL,budget_r,model,model_key,model_label,ulsan_source_group,ulsan_value,seoul_value,delta_seoul_minus_ulsan,relative_change_pct,direction,baseline_available,improved_on_seoul
Seoul_Tancheon,alarm,enrichment,5,15.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,2.428571428571428,5.072463768115942,2.6438923395445144,108.86615515771534,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,5,15.0,0.1,HGBR,hgbr,HGBR,hybrid_rank_v2_guarded,2.2388059701492526,2.318840579710145,0.08003460956089237,3.574879227053194,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,5,15.0,0.1,Persistence,persistence,Persistence,main_alarm,2.428571428571428,3.768115942028986,1.3395445134575579,55.1577152600171,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,5,16.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,2.73972602739726,4.761904761904761,2.022178734507501,73.80952380952378,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,5,16.0,0.05,HGBR,hgbr,HGBR,hybrid_rank_v2_guarded,3.9436619718309838,0.9523809523809524,-2.991281019450031,-75.8503401360544,higher_is_better,1,0.0
Seoul_Tancheon,alarm,enrichment,5,16.0,0.05,Persistence,persistence,Persistence,main_alarm,3.835616438356164,5.7142857142857135,1.8786692759295494,48.979591836734684,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,5,16.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,3.013698630136986,6.190476190476191,3.1767775603392048,105.41125541125545,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,5,16.0,0.1,HGBR,hgbr,HGBR,hybrid_rank_v2_guarded,3.0985915492957736,2.8571428571428568,-0.24144869215291687,-7.7922077922077735,higher_is_better,1,0.0
Seoul_Tancheon,alarm,enrichment,5,16.0,0.1,Persistence,persistence,Persistence,main_alarm,3.150684931506849,5.7142857142857135,2.5636007827788645,81.36645962732918,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,5,17.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,3.4482758620689657,2.222222222222222,-1.2260536398467439,-35.55555555555557,higher_is_better,1,0.0
Seoul_Tancheon,alarm,enrichment,5,17.0,0.05,HGBR,hgbr,HGBR,,,2.222222222222222,,,higher_is_better,0,
Seoul_Tancheon,alarm,enrichment,5,17.0,0.05,Persistence,persistence,Persistence,main_alarm,2.7586206896551717,6.666666666666666,3.9080459770114944,141.6666666666667,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,5,17.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,3.7931034482758617,5.555555555555555,1.7624521072796937,46.46464646464648,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,5,17.0,0.1,HGBR,hgbr,HGBR,,,4.444444444444444,,,higher_is_better,0,
Seoul_Tancheon,alarm,enrichment,5,17.0,0.1,Persistence,persistence,Persistence,main_alarm,2.7586206896551717,7.777777777777778,5.019157088122606,181.9444444444445,higher_is_better,1,1.0
Seoul_Tancheon,alarm,precision,1,15.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.6923076923076923,0.35,-0.3423076923076923,-49.44444444444445,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,1,15.0,0.05,HGBR,hgbr,HGBR,,,0.3333333333333333,,,higher_is_better,0,
Seoul_Tancheon,alarm,precision,1,15.0,0.05,Persistence,persistence,Persistence,main_alarm,0.7692307692307693,0.4,-0.36923076923076925,-48.0,higher_is_better,1,0.0
