n_points,model,MAE,RMSE,MASE1,MASE7,n
300,enet,1.8543209491780597,2.394141925816213,1.4285691269680192,0.912906049135148,300
300,persistence,1.8383666563034058,2.353525492186309,1.4162779374339531,0.9050515455868807,300
300,hgbr,1.726299457519689,2.2650844914193984,1.3299413513110552,0.8498794224845481,300
318,hybrid_point,1.6321609720235384,2.1167907202064087,1.2503202581330963,0.8112157942515412,318
318,enet,1.842585310819518,2.375620915762257,1.4115162541840796,0.9158007892686714,318
318,persistence,1.8269182376141817,2.342074942780012,1.3995144606416203,0.9080139487230927,318
318,hgbr,1.721776796256892,2.253306866420187,1.3189706439766813,0.8557566044283931,318
336,hybrid_point,1.6341259655727622,2.1300295965678147,1.2226018274959363,0.8145129820873259,336
336,enet,1.8282695875057042,2.3569481818446416,1.367854000200199,0.9112818382130587,336
336,persistence,1.8601190447807312,2.398945568712018,1.3916827658459083,0.9271568668029463,336
336,hgbr,1.7289473092360002,2.2561075488556077,1.2935441847503,0.8617756882799913,336
354,hybrid_point,1.6321993957630065,2.117459657934943,1.2008970451260357,0.8206166348082761,354
354,enet,1.8113388346842103,2.3321053567910077,1.3326995831152397,0.9106821034701122,354
354,persistence,1.8851412433688923,2.4198251264606503,1.3869999919639926,0.94778754807007,354
354,hgbr,1.6979666024238658,2.222144256507019,1.2492855228758992,0.8536822418357468,354
372,hybrid_point,1.6022145037690643,2.0878142491704295,1.186091426905821,0.8100623215377571,372
372,enet,1.780823040080901,2.299807423531758,1.3183122083263596,0.9003648654423787,372
372,persistence,1.85752688172043,2.3888766581439262,1.3750947232551474,0.9391454980500692,372
372,hgbr,1.6672145255342692,2.1878666994480063,1.2342098082979753,0.8429256294202303,372
390,hybrid_point,1.5882275258984015,2.0773477809002863,1.1633285181697133,0.7975392227216389,390
390,enet,1.752549381450477,2.2737832399618814,1.2836892962101023,0.8800545568385486,390
390,persistence,1.863333340180226,2.403815335307105,1.3648351877429619,0.9356854729979769,390
390,hgbr,1.6398142157927635,2.16360581405936,1.2011142047501937,0.8234438288881004,390
408,hybrid_point,1.5867145541077083,2.068214935878145,1.152563450528796,0.8101151410162903,408
408,enet,1.7319486727707807,2.2456164587262495,1.258059134366493,0.8842660701903633,408
408,persistence,1.8640196183148552,2.4018128343012677,1.353993304956162,0.9516963917920709,408
408,hgbr,1.6350671136823582,2.1474084009044536,1.187685957447879,0.8348020896025432,408
426,hybrid_point,1.5699974731076727,2.0479093857767534,1.1501515623484215,0.802935424053366,426
426,enet,1.7040255435455753,2.2135044512508544,1.248338086373563,0.8714806844219037,426
426,persistence,1.8531455545917923,2.386611525659188,1.3575806912949135,0.9477443353864078,426
426,hgbr,1.6206117684997479,2.1237308741094956,1.1872306735696199,0.8288208228708271,426
444,hybrid_point,1.553733841572971,2.0289985538869706,1.1342057357305382,0.8068323330091063,444
444,enet,1.6807969345496925,2.1850650267091263,1.226960160586188,0.8728144265972676,444
444,persistence,1.8348423554016664,2.367864675507179,1.3394113380133663,0.9528080670585838,444
444,hgbr,1.6014004149671779,2.1033297656059107,1.1690017216965753,0.8315849203501033,444
462,hybrid_point,1.5680746978422113,2.0456106618830057,1.1235874135323898,0.8121040114381366,462
462,enet,1.6903352341496192,2.192596597487303,1.2111919134683655,0.8754225970338687,462
462,persistence,1.8490909270909957,2.3874288478821755,1.3249466336108446,0.9576419806217455,462
462,hgbr,1.6247023278461892,2.127035833733824,1.1641633455451903,0.8414313933209941,462
480,hybrid_point,1.606853882467172,2.108078211554159,1.1307061783242223,0.8047966135320511,480
480,enet,1.7215657172967909,2.234754030179069,1.2114262623243974,0.86225031060448,480
480,persistence,1.9012291957934697,2.4562562816214757,1.3378513264649547,0.9522351938892671,480
480,hgbr,1.6698533132296773,2.198202514560488,1.1750374310730416,0.8363500292379418,480
498,hybrid_point,1.6212690912335384,2.1177447002856935,1.125802645637888,0.7919723738042969,498
498,enet,1.7301831142143647,2.234571394649438,1.2014320990592124,0.8451756932206144,498
498,persistence,1.9535140780559983,2.5307807697772127,1.3565122096375701,0.9542704477768045,498
498,hgbr,1.6567462045998114,2.1804547416426803,1.1504378084885885,0.8093025590525914,498
516,hybrid_point,1.6512239921888627,2.151126660230283,1.1202923935803644,0.8072389704363825,516
516,enet,1.7467434085609377,2.245061458157036,1.1850986682633158,0.8539358423893298,516
516,persistence,1.984147309332855,2.562154139337198,1.3461681449056262,0.9699962202322314,516
516,hgbr,1.6909248441684952,2.2334405199252343,1.1472279048749185,0.8266476485013147,516
534,hybrid_point,1.6574915375161643,2.1571496343650938,1.1094627289327468,0.802486037558,534
534,enet,1.7558981922409687,2.2495765887245383,1.1753324563038643,0.8501303027816928,534
534,persistence,2.005112378338303,2.5866078146984743,1.3421470944109415,0.9707890815312895,534
534,hgbr,1.7012944084360262,2.2419036927947005,1.1387827294310087,0.8236935016822635,534
552,hybrid_point,1.6655376643982736,2.165436518065039,1.1057827828188436,0.7983798875140699,552
552,enet,1.753820309360559,2.242508683194545,1.1643953443403945,0.8406984070294471,552
552,persistence,2.0256521909133247,2.603875054869074,1.3448698066521763,0.9710017388939005,552
552,hgbr,1.7139000014837886,2.25289574831338,1.1378914771036794,0.821562501793886,552
570,hybrid_point,1.6518256931361133,2.1490040484043336,1.0961313816942204,0.7918546464799262,570
570,enet,1.7431508709259567,2.2290784780888275,1.1567336557296821,0.8356342454254996,570
570,persistence,2.0280526462354156,2.597897645438432,1.345790998713728,0.9722108803008508,570
570,hgbr,1.696606331412062,2.2322114407613873,1.1258472670388613,0.8133216551591675,570
588,hybrid_point,1.6498294171830588,2.1496684268260853,1.0949369815933319,0.7896977133039446,588
588,enet,1.740784633107192,2.223436958633844,1.1553009371313423,0.8332338057510007,588
588,persistence,2.031360558101109,2.59893431954462,1.3481465264527916,0.9723191809534082,588
588,hgbr,1.6966937132407407,2.231567764541427,1.1260392581896044,0.8121295035526235,588
606,hybrid_point,1.6578090584288698,2.163700130813975,1.070079137343142,0.7949562990180816,606
