model,display_model_name,horizon_days,outer_fold,fold_n,MAE_mg_L,MSE_mg2_L2,RMSE_mg_L,MASE,feature_date_start,feature_date_end,source_package,source_file,source_sha256,mase_method
BCR-TCN v1.1,BCR-TCN v1.1,5,3,249,12.673251433006252,165.85972924768748,12.87865401537317,9.914383074892037,2023-02-20,2023-10-26,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_by_fold.csv,a8bd54e70b6e62dc50391166bbf7db05f8842aadc963a87381ab7db7b4bbf8a5,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
ElasticNet,ElasticNet,5,1,249,1.978768560505372,6.258816787647144,2.50176273608173,1.705230015562928,2021-10-10,2022-06-15,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_by_fold.csv,a8bd54e70b6e62dc50391166bbf7db05f8842aadc963a87381ab7db7b4bbf8a5,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
ElasticNet,ElasticNet,5,2,249,1.471439044105932,3.626969178320504,1.9044603378176463,1.167469777657996,2022-06-16,2023-02-19,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_by_fold.csv,a8bd54e70b6e62dc50391166bbf7db05f8842aadc963a87381ab7db7b4bbf8a5,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
ElasticNet,ElasticNet,5,3,249,1.9116236535286584,5.618021829721439,2.370236661120876,1.4216309978033994,2023-02-20,2023-10-26,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_by_fold.csv,a8bd54e70b6e62dc50391166bbf7db05f8842aadc963a87381ab7db7b4bbf8a5,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
HGBR,HGBR,5,1,249,1.9371433790082744,6.012591743289525,2.452058674520152,1.6693589640873698,2021-10-10,2022-06-15,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_by_fold.csv,a8bd54e70b6e62dc50391166bbf7db05f8842aadc963a87381ab7db7b4bbf8a5,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
HGBR,HGBR,5,2,249,1.4645811096403545,3.577369560604208,1.8913935499002337,1.1620285524453091,2022-06-16,2023-02-19,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_by_fold.csv,a8bd54e70b6e62dc50391166bbf7db05f8842aadc963a87381ab7db7b4bbf8a5,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
HGBR,HGBR,5,3,249,2.019850091356027,6.123932261188993,2.4746580089355765,1.50211653611175,2023-02-20,2023-10-26,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_by_fold.csv,a8bd54e70b6e62dc50391166bbf7db05f8842aadc963a87381ab7db7b4bbf8a5,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Persistence,Persistence,5,1,249,1.8831325301204815,5.89550843373494,2.428066809981748,1.6228143996912303,2021-10-10,2022-06-15,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_by_fold.csv,a8bd54e70b6e62dc50391166bbf7db05f8842aadc963a87381ab7db7b4bbf8a5,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Persistence,Persistence,5,2,249,1.9924899598393573,6.75704297188755,2.599431278546819,1.5808822116806482,2022-06-16,2023-02-19,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_by_fold.csv,a8bd54e70b6e62dc50391166bbf7db05f8842aadc963a87381ab7db7b4bbf8a5,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Persistence,Persistence,5,3,249,2.347911646586345,8.672163594681503,2.944853747587731,1.7460884472366822,2023-02-20,2023-10-26,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_by_fold.csv,a8bd54e70b6e62dc50391166bbf7db05f8842aadc963a87381ab7db7b4bbf8a5,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Ridge,Ridge,5,1,249,1.919376498283033,5.941286282067889,2.437475391069188,1.6540481193022318,2021-10-10,2022-06-15,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_by_fold.csv,a8bd54e70b6e62dc50391166bbf7db05f8842aadc963a87381ab7db7b4bbf8a5,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Ridge,Ridge,5,2,249,1.457676383093359,3.66861890893323,1.915363910313972,1.1565502014399451,2022-06-16,2023-02-19,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_by_fold.csv,a8bd54e70b6e62dc50391166bbf7db05f8842aadc963a87381ab7db7b4bbf8a5,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Ridge,Ridge,5,3,249,1.942512444276632,5.737295715422008,2.395265270366105,1.4446022883766902,2023-02-20,2023-10-26,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_by_fold.csv,a8bd54e70b6e62dc50391166bbf7db05f8842aadc963a87381ab7db7b4bbf8a5,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
