model,horizon_days,configuration_id,outer_fold,N,MAE,MSE,RMSE,MASE,mase_denominator,mase_denominator_source,mase_method,epsilon_or_stabilizer,training_rows_used_for_denominator,final_reference_configuration,pearson_prediction_correlation,spearman_prediction_rank_correlation,mean_prediction_difference,mean_absolute_prediction_difference,maximum_absolute_prediction_difference,retrospective_recall5_tau16
Ridge,1,SHORT,1,254,1.5884542942328344,3.935088789532829,1.9837058223266948,1.3688888646526034,1.160396825396825,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,253,REFERENCE,0.9973623469996974,0.9970158926600112,0.0212004407172582,0.0866378832571226,0.2176966876310864,0.1764705882352941
Ridge,1,SHORT,2,254,1.3620805214002425,3.078990741666628,1.7547053147655955,1.0901987429046365,1.2493873517786562,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,507,REFERENCE,0.9998351488835788,0.9997056168955396,0.0082431402924537,0.017545069823565,0.0654200565435463,0.0
Ridge,1,SHORT,3,254,1.7350027716471987,4.516464703407009,2.125197568087967,1.295134272450761,1.3396315789473685,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,761,REFERENCE,0.9996135283818386,0.9994053754208416,-0.0160370827460763,0.0305071829540413,0.1009010748017846,0.2058823529411764
Ridge,3,LONG,1,249,1.989874479564556,6.013328532967494,2.4522089089161008,1.7248604878975422,1.1536437246963565,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,248,REFERENCE,0.9937995903978988,0.9888799067236688,-0.0087831231786432,0.1513935291287634,0.8112930891094461,0.0967741935483871
Ridge,3,LONG,2,249,1.4475939495822177,3.565715675414395,1.8883102699012135,1.1507253644817297,1.257983870967742,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,497,REFERENCE,0.987563108201252,0.98529731830548,-0.0525134567079248,0.1264645667918309,0.7109347950030269,0.2857142857142857
Ridge,3,LONG,3,249,1.9046749825580735,5.525928293939812,2.35072931107344,1.4173953781263038,1.3437852348993289,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,746,REFERENCE,0.9851235913761138,0.9814512242518464,0.0411342571580911,0.1347150156175555,0.445325275384997,0.2121212121212121
Ridge,3,REFERENCE,1,249,2.0307162204936144,6.176591976752551,2.485275030404593,1.760262874283691,1.1536437246963565,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,248,REFERENCE,1.0,1.0,0.0,0.0,0.0,0.0967741935483871
Ridge,3,REFERENCE,2,249,1.4547782439198813,3.565317988844116,1.888204964733468,1.1564363234993729,1.257983870967742,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,497,REFERENCE,1.0,1.0,0.0,0.0,0.0,0.2857142857142857
Ridge,3,REFERENCE,3,249,1.9070178990215396,5.511287969923625,2.3476132496481665,1.4191388981478628,1.3437852348993289,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,746,REFERENCE,1.0,1.0,0.0,0.0,0.0,0.2424242424242424
Ridge,3,SHORT,1,249,2.014055922414124,5.97125697033396,2.443615552891649,1.7458214157047571,1.1536437246963565,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,248,REFERENCE,0.9681416004364902,0.9576937427127868,0.304361726898858,0.4389464581591478,1.0948006269092367,0.064516129032258
Ridge,3,SHORT,2,249,1.4547490604307374,3.564443043051667,1.887973263330725,1.1564131248799037,1.257983870967742,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,497,REFERENCE,0.9999955073306792,0.9999619121647884,-0.0016539757937898,0.0026685108039426,0.0088034012247018,0.2857142857142857
Ridge,3,SHORT,3,249,1.9084609466828908,5.518673070703867,2.3491856186142184,1.4202127659228614,1.3437852348993289,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,746,REFERENCE,0.9999728157059294,0.9999059463661096,-0.0035226890230241,0.0063344201412726,0.0206726345889052,0.2424242424242424
Ridge,5,LONG,1,249,1.8876980857766308,5.776051023058435,2.403341636775437,1.6267488277481428,1.1604115226337448,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,244,REFERENCE,0.9862526204226936,0.9777846871356394,0.0806072390694162,0.1400927783523664,0.5532341427557395,0.064516129032258
Ridge,5,LONG,2,249,1.461764982887295,3.616115477568509,1.901608655209717,1.1597941799869866,1.2603658536585365,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,493,REFERENCE,0.9886144389130488,0.9878375437232804,-0.082817552593331,0.1341101111039222,0.4978242403564277,0.2857142857142857
Ridge,5,LONG,3,249,1.9362056059391588,5.667909459755114,2.380737167298212,1.439912036264494,1.3446693657219972,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,742,REFERENCE,0.9729020493102386,0.9687221142635056,0.0676307425810991,0.1666274952246115,0.5593643727842981,0.1818181818181818
Ridge,5,REFERENCE,1,249,1.9193764982830328,5.941286282067888,2.4374753910691878,1.6540481193022316,1.1604115226337448,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,244,REFERENCE,1.0,1.0,0.0,0.0,0.0,0.0967741935483871
Ridge,5,REFERENCE,2,249,1.4576763830933597,3.6686189089332304,1.9153639103139724,1.1565502014399456,1.2603658536585365,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,493,REFERENCE,1.0,1.0,0.0,0.0,0.0,0.4285714285714285
Ridge,5,REFERENCE,3,249,1.942512444276632,5.737295715422008,2.395265270366105,1.4446022883766902,1.3446693657219972,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,742,REFERENCE,1.0,1.0,0.0,0.0,0.0,0.2121212121212121
Ridge,5,SHORT,1,249,1.8892476921715535,5.751748868990989,2.3982803983252228,1.628084221583315,1.1604115226337448,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,244,REFERENCE,0.9921590683442416,0.9882067625340072,0.1043627862087918,0.1296528208483205,0.3402752717387329,0.0967741935483871
Ridge,5,SHORT,2,249,1.4553465519305882,3.6521489676931327,1.911059645247404,1.154701665830892,1.2603658536585365,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,493,REFERENCE,0.999708359407456,0.9996066848037312,-0.0129080136425621,0.0213442873597617,0.0710757357034328,0.2857142857142857
Ridge,5,SHORT,3,249,1.9428552316822725,5.739269759720621,2.395677307093053,1.4448572115675675,1.3446693657219972,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,742,REFERENCE,0.9999969139658376,0.9999774582199766,-0.0010159385290647,0.0018824790255445,0.0061840037265312,0.2121212121212121
