model,horizon_days,metric,fold_1,fold_2,fold_3,mean,standard_deviation,minimum,maximum,range,interpretation
Ridge,1,RMSE_mg_L,1.9837901564324956,1.7527934538455672,2.12031054048628,1.9522980502547809,0.18577141009006382,1.7527934538455672,2.12031054048628,0.3675170866407129,descriptive only (no population confidence interval from three folds)
ElasticNet,3,MAE_mg_L,1.9811968352601483,1.4603934144955817,1.8890229529406304,1.7768710675654535,0.2779255022752027,1.4603934144955817,1.9811968352601483,0.5208034207645666,descriptive only (no population confidence interval from three folds)
ElasticNet,3,MASE,1.7173385432008208,1.1608999503397688,1.4057476615125932,1.4279953850177274,0.27888563571322134,1.1608999503397688,1.7173385432008208,0.556438592861052,descriptive only (no population confidence interval from three folds)
ElasticNet,3,RMSE_mg_L,2.447601004960096,1.8792759633125693,2.334962878048829,2.220613282107165,0.3009239286097604,1.8792759633125693,2.447601004960096,0.5683250416475267,descriptive only (no population confidence interval from three folds)
HGBR,3,MAE_mg_L,1.7642511317648075,1.5457726346779608,1.98089694841384,1.7636402382855358,0.21756280011564982,1.5457726346779608,1.98089694841384,0.4351243137358791,descriptive only (no population confidence interval from three folds)
HGBR,3,MASE,1.5292859419834135,1.2287698349105691,1.4741172141902004,1.4107243303613943,0.15997336010302993,1.2287698349105691,1.5292859419834135,0.3005161070728444,descriptive only (no population confidence interval from three folds)
HGBR,3,RMSE_mg_L,2.30054181793902,1.9869959506974315,2.457003533018198,2.248180433884883,0.23933881374487007,1.9869959506974315,2.457003533018198,0.47000758232076634,descriptive only (no population confidence interval from three folds)
Persistence,3,MAE_mg_L,1.845983935742972,1.8968674698795185,2.3341775473895585,2.025676317670683,0.26837853875654827,1.845983935742972,2.3341775473895585,0.4881936116465866,descriptive only (no population confidence interval from three folds)
Persistence,3,MASE,1.600133468093634,1.5078631071099762,1.7370168126809409,1.6150044626281836,0.11529837402609393,1.5078631071099762,1.7370168126809409,0.2291537055709647,descriptive only (no population confidence interval from three folds)
Persistence,3,RMSE_mg_L,2.366791924961773,2.434460925954656,2.954403556912496,2.5852188026096417,0.3215086476769914,2.366791924961773,2.954403556912496,0.5876116319507227,descriptive only (no population confidence interval from three folds)
Ridge,3,MAE_mg_L,2.0307162204936144,1.4547782439198813,1.9070178990215396,1.7975041211450116,0.30318490871669984,1.4547782439198813,2.0307162204936144,0.5759379765737331,descriptive only (no population confidence interval from three folds)
Ridge,3,MASE,1.7602628742836908,1.1564363234993726,1.4191388981478623,1.4452793653103084,0.3027608278420854,1.1564363234993726,1.7602628742836908,0.6038265507843181,descriptive only (no population confidence interval from three folds)
Ridge,3,RMSE_mg_L,2.485275030404593,1.888204964733468,2.3476132496481665,2.240364414928743,0.31264980448040613,1.888204964733468,2.485275030404593,0.5970700656711252,descriptive only (no population confidence interval from three folds)
BCR-TCN v1.1,5,MAE_mg_L,13.06844567278602,12.044562697290896,12.673251433006252,12.595419934361056,0.5163597520268255,12.044562697290896,13.06844567278602,1.0238829754951233,descriptive only (no population confidence interval from three folds)
BCR-TCN v1.1,5,MASE,11.572639982579703,9.784815546690853,9.914383074892037,10.423946201387531,0.996905205274413,9.784815546690853,11.572639982579703,1.7878244358888509,descriptive only (no population confidence interval from three folds)
BCR-TCN v1.1,5,RMSE_mg_L,13.248132037294685,12.210334279476246,12.87865401537317,12.779040110714702,0.5260211440942509,12.210334279476246,13.248132037294685,1.0377977578184385,descriptive only (no population confidence interval from three folds)
ElasticNet,5,MAE_mg_L,1.978768560505372,1.471439044105932,1.9116236535286584,1.787277086046654,0.27557641623683965,1.471439044105932,1.978768560505372,0.50732951639944,descriptive only (no population confidence interval from three folds)
ElasticNet,5,MASE,1.705230015562928,1.167469777657996,1.4216309978033994,1.4314435970081079,0.26901437451418175,1.167469777657996,1.705230015562928,0.537760237904932,descriptive only (no population confidence interval from three folds)
ElasticNet,5,RMSE_mg_L,2.50176273608173,1.9044603378176463,2.370236661120876,2.258819911673417,0.31385156967280703,1.9044603378176463,2.50176273608173,0.5973023982640837,descriptive only (no population confidence interval from three folds)
HGBR,5,MAE_mg_L,1.9371433790082744,1.4645811096403545,2.019850091356027,1.8071915266682186,0.2995772412231088,1.4645811096403545,2.019850091356027,0.5552689817156726,descriptive only (no population confidence interval from three folds)
HGBR,5,MASE,1.6693589640873698,1.1620285524453091,1.50211653611175,1.4445013508814764,0.2585259538635623,1.1620285524453091,1.6693589640873698,0.5073304116420607,descriptive only (no population confidence interval from three folds)
HGBR,5,RMSE_mg_L,2.452058674520152,1.8913935499002337,2.4746580089355765,2.272703411118654,0.33041729702879247,1.8913935499002337,2.4746580089355765,0.5832644590353429,descriptive only (no population confidence interval from three folds)
Persistence,5,MAE_mg_L,1.8831325301204815,1.9924899598393573,2.347911646586345,2.074511378848728,0.24300317211495467,1.8831325301204815,2.347911646586345,0.4647791164658637,descriptive only (no population confidence interval from three folds)
Persistence,5,MASE,1.6228143996912303,1.5808822116806482,1.7460884472366822,1.64992835286952,0.0858757818559157,1.5808822116806482,1.7460884472366822,0.16520623555603398,descriptive only (no population confidence interval from three folds)
Persistence,5,RMSE_mg_L,2.428066809981748,2.599431278546819,2.944853747587731,2.6574506120387658,0.2632334838393091,2.428066809981748,2.944853747587731,0.5167869376059828,descriptive only (no population confidence interval from three folds)
Ridge,5,MAE_mg_L,1.919376498283033,1.457676383093359,1.942512444276632,1.7731884418843415,0.27348621981947807,1.457676383093359,1.942512444276632,0.48483606118327294,descriptive only (no population confidence interval from three folds)
Ridge,5,MASE,1.6540481193022318,1.1565502014399451,1.4446022883766902,1.4184002030396226,0.2497818178457669,1.1565502014399451,1.6540481193022318,0.4974979178622867,descriptive only (no population confidence interval from three folds)
Ridge,5,RMSE_mg_L,2.437475391069188,1.915363910313972,2.395265270366105,2.249368190583088,0.2900251161554979,1.915363910313972,2.437475391069188,0.5221114807552163,descriptive only (no population confidence interval from three folds)
