model,scope,tau,budget_r,score_col,n,k,events,non_events,TP,FP,FN,TN,precision,recall,false_alarm_rate,miss_rate
hgbr_optuna_H5_v2,fold3,17.0,0.1,y_pred,249,25,12,237,7,18,5,219,0.28,0.5833333333333334,0.0759493670886076,0.4166666666666667
bcr_tcn_v11_H5_v2,overall,15.0,0.05,p_tau15,747,38,134,613,19,19,115,594,0.5,0.1417910447761194,0.03099510603588907,0.8582089552238806
bcr_tcn_v11_H5_v2,fold1,15.0,0.05,p_tau15,249,13,59,190,10,3,49,187,0.7692307692307693,0.1694915254237288,0.015789473684210527,0.8305084745762712
bcr_tcn_v11_H5_v2,fold2,15.0,0.05,p_tau15,249,13,20,229,3,10,17,219,0.23076923076923078,0.15,0.043668122270742356,0.85
bcr_tcn_v11_H5_v2,fold3,15.0,0.05,p_tau15,249,13,55,194,3,10,52,184,0.23076923076923078,0.05454545454545454,0.05154639175257732,0.9454545454545454
bcr_tcn_v11_H5_v2,overall,15.0,0.1,p_tau15,747,75,134,613,29,46,105,567,0.38666666666666666,0.21641791044776118,0.07504078303425775,0.7835820895522388
bcr_tcn_v11_H5_v2,fold1,15.0,0.1,p_tau15,249,25,59,190,15,10,44,180,0.6,0.2542372881355932,0.05263157894736842,0.7457627118644068
bcr_tcn_v11_H5_v2,fold2,15.0,0.1,p_tau15,249,25,20,229,6,19,14,210,0.24,0.3,0.08296943231441048,0.7
bcr_tcn_v11_H5_v2,fold3,15.0,0.1,p_tau15,249,25,55,194,4,21,51,173,0.16,0.07272727272727272,0.10824742268041238,0.9272727272727272
bcr_tcn_v11_H5_v2,overall,16.0,0.05,p_tau16,747,38,71,676,15,23,56,653,0.39473684210526316,0.2112676056338028,0.034023668639053255,0.7887323943661971
bcr_tcn_v11_H5_v2,fold1,16.0,0.05,p_tau16,249,13,31,218,1,12,30,206,0.07692307692307693,0.03225806451612903,0.05504587155963303,0.967741935483871
bcr_tcn_v11_H5_v2,fold2,16.0,0.05,p_tau16,249,13,7,242,0,13,7,229,0.0,0.0,0.05371900826446281,1.0
