model,model_full_name,source_group,horizon,tau_mgL,budget_r,precision,recall,TP,events,k,source_file,rank_recall,rank_precision
persistence,Persistence baseline (carry-forward),main_alarm,3,16,0.1,0.2763157894736842,0.2876712328767123,21,73,76,results/metrics/alarm_budget_H3.csv,2,2
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,3,16,0.1,0.25,0.2602739726027397,19,73,76,results/metrics/alarm_budget_H3.csv,3,3
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,3,16,0.1,0.25,0.2602739726027397,19,73,76,results/metrics/alarm_budget_H3.csv,3,3
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,3,16,0.1,0.2368421052631578,0.2465753424657534,18,73,76,results/metrics/alarm_budget_H3.csv,4,4
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,3,16,0.1,0.2236842105263158,0.2328767123287671,17,73,76,results/metrics/alarm_budget_H3.csv,5,5
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,3,17,0.05,0.2105263157894736,0.2758620689655172,8,29,38,results/metrics/alarm_budget_H3.csv,1,1
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,3,17,0.05,0.1842105263157894,0.2413793103448276,7,29,38,results/metrics/alarm_budget_H3.csv,2,2
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,3,17,0.05,0.1842105263157894,0.2413793103448276,7,29,38,results/metrics/alarm_budget_H3.csv,2,2
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,3,17,0.05,0.1578947368421052,0.2068965517241379,6,29,38,results/metrics/alarm_budget_H3.csv,3,3
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,3,17,0.05,0.131578947368421,0.1724137931034483,5,29,38,results/metrics/alarm_budget_H3.csv,4,4
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,3,17,0.05,0.131578947368421,0.1724137931034483,5,29,38,results/metrics/alarm_budget_H3.csv,4,4
persistence,Persistence baseline (carry-forward),main_alarm,3,17,0.05,0.0789473684210526,0.1034482758620689,3,29,38,results/metrics/alarm_budget_H3.csv,5,5
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,3,17,0.1,0.1578947368421052,0.4137931034482758,12,29,76,results/metrics/alarm_budget_H3.csv,1,1
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,3,17,0.1,0.1578947368421052,0.4137931034482758,12,29,76,results/metrics/alarm_budget_H3.csv,1,1
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,3,17,0.1,0.1184210526315789,0.3103448275862069,9,29,76,results/metrics/alarm_budget_H3.csv,2,2
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,3,17,0.1,0.1184210526315789,0.3103448275862069,9,29,76,results/metrics/alarm_budget_H3.csv,2,2
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,3,17,0.1,0.1052631578947368,0.2758620689655172,8,29,76,results/metrics/alarm_budget_H3.csv,3,3
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,3,17,0.1,0.1052631578947368,0.2758620689655172,8,29,76,results/metrics/alarm_budget_H3.csv,3,3
persistence,Persistence baseline (carry-forward),main_alarm,3,17,0.1,0.0789473684210526,0.2068965517241379,6,29,76,results/metrics/alarm_budget_H3.csv,4,4
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,5,15,0.05,0.5263157894736842,0.1428571428571428,20,140,38,results/metrics/alarm_budget_H5.csv,1,1
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,5,15,0.05,0.5,0.1357142857142857,19,140,38,results/metrics/alarm_budget_H5.csv,2,2
persistence,Persistence baseline (carry-forward),main_alarm,5,15,0.05,0.5,0.1357142857142857,19,140,38,results/metrics/alarm_budget_H5.csv,2,2
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,5,15,0.05,0.4736842105263157,0.1285714285714285,18,140,38,results/metrics/alarm_budget_H5.csv,3,3
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,5,15,0.05,0.4736842105263157,0.1285714285714285,18,140,38,results/metrics/alarm_budget_H5.csv,3,3
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,5,15,0.05,0.4473684210526316,0.1214285714285714,17,140,38,results/metrics/alarm_budget_H5.csv,4,4
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,5,15,0.05,0.2894736842105263,0.0785714285714285,11,140,38,results/metrics/alarm_budget_H5.csv,5,5
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,5,15,0.1,0.4473684210526316,0.2428571428571428,34,140,76,results/metrics/alarm_budget_H5.csv,1,1
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,5,15,0.1,0.4473684210526316,0.2428571428571428,34,140,76,results/metrics/alarm_budget_H5.csv,1,1
persistence,Persistence baseline (carry-forward),main_alarm,5,15,0.1,0.4473684210526316,0.2428571428571428,34,140,76,results/metrics/alarm_budget_H5.csv,1,1
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,5,15,0.1,0.4210526315789473,0.2285714285714285,32,140,76,results/metrics/alarm_budget_H5.csv,2,2
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,5,15,0.1,0.4210526315789473,0.2285714285714285,32,140,76,results/metrics/alarm_budget_H5.csv,2,2
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,5,15,0.1,0.3289473684210526,0.1785714285714285,25,140,76,results/metrics/alarm_budget_H5.csv,3,3
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,5,15,0.1,0.2894736842105263,0.1571428571428571,22,140,76,results/metrics/alarm_budget_H5.csv,4,4
persistence,Persistence baseline (carry-forward),main_alarm,5,16,0.05,0.3684210526315789,0.1917808219178082,14,73,38,results/metrics/alarm_budget_H5.csv,1,1
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,5,16,0.05,0.2894736842105263,0.1506849315068493,11,73,38,results/metrics/alarm_budget_H5.csv,2,2
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,5,16,0.05,0.2894736842105263,0.1506849315068493,11,73,38,results/metrics/alarm_budget_H5.csv,2,2
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,5,16,0.05,0.2894736842105263,0.1506849315068493,11,73,38,results/metrics/alarm_budget_H5.csv,2,2
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,5,16,0.05,0.2631578947368421,0.136986301369863,10,73,38,results/metrics/alarm_budget_H5.csv,3,3
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,5,16,0.05,0.2631578947368421,0.136986301369863,10,73,38,results/metrics/alarm_budget_H5.csv,3,3
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,5,16,0.05,0.1578947368421052,0.0821917808219178,6,73,38,results/metrics/alarm_budget_H5.csv,4,4
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,5,16,0.1,0.3026315789473684,0.3150684931506849,23,73,76,results/metrics/alarm_budget_H5.csv,1,1
persistence,Persistence baseline (carry-forward),main_alarm,5,16,0.1,0.3026315789473684,0.3150684931506849,23,73,76,results/metrics/alarm_budget_H5.csv,1,1
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,5,16,0.1,0.2894736842105263,0.3013698630136986,22,73,76,results/metrics/alarm_budget_H5.csv,2,2
