model,model_full_name,source_group,horizon,tau_mgL,budget_r,precision,recall,TP,events,k,source_file,rank_recall,rank_precision
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,5,16,0.1,0.2631578947368421,0.273972602739726,20,73,76,results/metrics/alarm_budget_H5.csv,3,3
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,5,16,0.1,0.2631578947368421,0.273972602739726,20,73,76,results/metrics/alarm_budget_H5.csv,3,3
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,5,16,0.1,0.2105263157894736,0.2191780821917808,16,73,76,results/metrics/alarm_budget_H5.csv,4,4
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,5,16,0.1,0.1973684210526315,0.2054794520547945,15,73,76,results/metrics/alarm_budget_H5.csv,5,5
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,5,17,0.05,0.2105263157894736,0.2758620689655172,8,29,38,results/metrics/alarm_budget_H5.csv,1,1
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,5,17,0.05,0.2105263157894736,0.2758620689655172,8,29,38,results/metrics/alarm_budget_H5.csv,1,1
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,5,17,0.05,0.1578947368421052,0.2068965517241379,6,29,38,results/metrics/alarm_budget_H5.csv,2,2
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,5,17,0.05,0.131578947368421,0.1724137931034483,5,29,38,results/metrics/alarm_budget_H5.csv,3,3
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,5,17,0.05,0.1052631578947368,0.1379310344827586,4,29,38,results/metrics/alarm_budget_H5.csv,4,4
persistence,Persistence baseline (carry-forward),main_alarm,5,17,0.05,0.1052631578947368,0.1379310344827586,4,29,38,results/metrics/alarm_budget_H5.csv,4,4
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,5,17,0.05,0.0789473684210526,0.1034482758620689,3,29,38,results/metrics/alarm_budget_H5.csv,5,5
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,5,17,0.1,0.1447368421052631,0.3793103448275862,11,29,76,results/metrics/alarm_budget_H5.csv,1,1
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,5,17,0.1,0.1447368421052631,0.3793103448275862,11,29,76,results/metrics/alarm_budget_H5.csv,1,1
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,5,17,0.1,0.131578947368421,0.3448275862068966,10,29,76,results/metrics/alarm_budget_H5.csv,2,2
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,5,17,0.1,0.131578947368421,0.3448275862068966,10,29,76,results/metrics/alarm_budget_H5.csv,2,2
persistence,Persistence baseline (carry-forward),main_alarm,5,17,0.1,0.1052631578947368,0.2758620689655172,8,29,76,results/metrics/alarm_budget_H5.csv,3,3
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,5,17,0.1,0.0921052631578947,0.2413793103448276,7,29,76,results/metrics/alarm_budget_H5.csv,4,4
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,5,17,0.1,0.0789473684210526,0.2068965517241379,6,29,76,results/metrics/alarm_budget_H5.csv,5,5
hybrid_rank_ens,Hybrid rank ensemble (paper v2),paper_v2_h5,5,15,0.05,0.5526315789473685,0.1567164179104477,21,134,38,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,1,1
bcr_tcn_v11,BCR-TCN v1.1,paper_v2_h5,5,15,0.05,0.5,0.1417910447761194,19,134,38,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,2,2
persistence,Persistence baseline (carry-forward),paper_v2_h5,5,15,0.05,0.5,0.1417910447761194,19,134,38,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,2,2
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",paper_v2_h5,5,15,0.05,0.4210526315789473,0.1194029850746268,16,134,38,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,3,3
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",paper_v2_h5,5,15,0.1,0.44,0.2462686567164179,33,134,75,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,1,1
persistence,Persistence baseline (carry-forward),paper_v2_h5,5,15,0.1,0.4266666666666667,0.2388059701492537,32,134,75,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,2,2
bcr_tcn_v11,BCR-TCN v1.1,paper_v2_h5,5,15,0.1,0.3866666666666666,0.2164179104477611,29,134,75,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,3,3
hybrid_rank_ens,Hybrid rank ensemble (paper v2),paper_v2_h5,5,15,0.1,0.36,0.2014925373134328,27,134,75,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,4,4
hybrid_rank_ens,Hybrid rank ensemble (paper v2),paper_v2_h5,5,16,0.05,0.4473684210526316,0.2394366197183098,17,71,38,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,1,1
bcr_tcn_v11,BCR-TCN v1.1,paper_v2_h5,5,16,0.05,0.3947368421052631,0.2112676056338028,15,71,38,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,2,2
persistence,Persistence baseline (carry-forward),paper_v2_h5,5,16,0.05,0.3947368421052631,0.2112676056338028,15,71,38,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,2,2
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",paper_v2_h5,5,16,0.05,0.2105263157894736,0.1126760563380281,8,71,38,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,3,3
persistence,Persistence baseline (carry-forward),paper_v2_h5,5,16,0.1,0.3066666666666666,0.323943661971831,23,71,75,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,1,1
hybrid_rank_ens,Hybrid rank ensemble (paper v2),paper_v2_h5,5,16,0.1,0.28,0.2957746478873239,21,71,75,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,2,2
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",paper_v2_h5,5,16,0.1,0.2533333333333333,0.2676056338028169,19,71,75,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,3,3
bcr_tcn_v11,BCR-TCN v1.1,paper_v2_h5,5,16,0.1,0.24,0.2535211267605634,18,71,75,results/paper_artifacts/20260219_183649_H5_v2_Table3_Fig3/tables/table3_alarm_budget_H5_v2_long.csv,4,4
